Name;Sector;Ticker;Country,
Canadian Imperial Bank of Commerce;Financials;CM.TO;Canada,
Canadian National Railway Company;Industrials;CNR.TO;Canada,
Canadian Natural Resources Limited;Energy;CNQ.TO;Canada,
Canadian Pacific Railway Limited;Industrials;CP.TO;Canada,
Canadian Tire Corporation Limited;Consumer Discretionary;CTC-A.TO;Canada,
Canopy Growth Corporation;Healthcare;WEED.TO;Canada,
Cenovus Energy Inc.;Energy;CVE.TO;Canada,
Constellation Software Inc.;Information Technology;CSU.TO;Canada,
Dollarama Inc.;Consumer Defensive;DOL.TO;Canada,
Emera Incorporated;Utilities;EMA.TO;Canada,
Enbridge Inc.;Energy;ENB.TO;Canada,
First Quantum Minerals Ltd.;Materials;FM.TO;Canada,
Fortis Inc.;Utilities;FTS.TO;Canada,
Franco-Nevada Corporation;Materials;FNV.TO;Canada,
George Weston Limited;Consumer Defensive;WN.TO;Canada,
Gildan Activewear Inc.;Consumer Discretionary;GIL.TO;Canada,
Imperial Oil Limited;Energy;IMO.TO;Canada,
Inter Pipeline Ltd.;Energy;IPL.TO;Canada,
Kinross Gold Corporation;Materials;K.TO;Canada,
Kirkland Lake Gold Ltd.;Materials;KL.TO;Canada,
Loblaw Companies Limited;Consumer Defensive;L.TO;Canada,
Magna International Inc.;Consumer Discretionary;MG.TO;Canada,
Manulife Financial Corporation;Financials;MFC.TO;Canada,
Metro Inc.;Consumer Defensive;MRU.TO;Canada,
National Bank of Canada;Financials;NA.TO;Canada,
Nutrien Ltd.;Materials;NTR.TO;Canada,
Open Text Corporation;Information Technology;OTEX.TO;Canada,
Pembina Pipeline Corporation;Energy;PPL.TO;Canada,
Power Corporation of Canada;Financials;POW.TO;Canada,
Restaurant Brands International Inc.;Consumer Discretionary;QSR.TO;Canada,
Rogers Communications Inc.;Consumer Discretionary;RCI-B.TO;Canada,
Royal Bank of Canada;Financials;RY.TO;Canada,
SNC-Lavalin Group Inc.;Industrials;SNC.TO;Canada,
Saputo Inc.;Consumer Defensive;SAP.TO;Canada,
Shaw Communications Inc.;Consumer Discretionary;SJR-B.TO;Canada,
Shopify Inc.;Information Technology;SHOP.TO;Canada,
Sun Life Financial Inc.;Financials;SLF.TO;Canada,
Suncor Energy Inc.;Energy;SU.TO;Canada,
TC Energy Corporation;Energy;TRP.TO;Canada,
Teck Resources Limited;Materials;TECK-B.TO;Canada,
Telus Corporation;Consumer Discretionary;T.TO;Canada,
Thomson Reuters Corporation;Industrials;TRI.TO;Canada,
Toronto-Dominion Bank;Financials;TD.TO;Canada,
Waste Connections Inc.;Industrials;WCN.TO;Canada,
Wheaton Precious Metals Corp.;Materials;WPM.TO;Canada,
AESGener;Utilities;AESGENER.SN;Chile,
Aguas Andinas;Consumer Defensive;AGUAS-A.SN;Chile,
Embotelladora Andina;Consumer Defensive;ANDINA-B.SN;Chile,
Banco de Crédito e Inversiones;Financials;BCI.SN;Chile,
Banco Santander Santiago;Financials;BSANTANDER.SN;Chile,
Compañía de Acero del Pacífico;Materials;CAP.SN;Chile,
Compañía Cervecerías Unidas;Consumer Defensive;CCU.SN;Chile,
Cencosud;Consumer Discretionary;CENCOSUD.SN;Chile,
Banco de Chile;Financials;CHILE.SN;Chile,
Empresas CMPC;Materials;CMPC.SN;Chile,
Colbun;Utilities;COLBUN.SN;Chile,
